frame,tempo,angulo,velocidade,ombro_y,cotovelo_y,punho_y,desvio_5_frames,repeticao,video,rotulo
0,0.0,196.2271225842556,0.0,350.7149648666382,556.0657453536987,743.863935470581,0.0,0,rosca3inc,incorreto
1,0.0333333333333333,209.127981601663,387.02577052222153,331.63057565689087,539.6055221557617,742.2447395324707,0.0,0,rosca3inc,incorreto
2,0.0666666666666666,205.16077685686767,-119.01614234386015,338.9953207969665,557.68798828125,742.7374076843262,0.0,0,rosca3inc,incorreto
3,0.1,206.2058214111865,31.35133662956548,335.3743600845337,570.1342105865479,737.1665668487549,0.0,0,rosca3inc,incorreto
4,0.1333333333333333,202.69959630511596,-105.18675318211764,327.7221465110779,565.8483839035034,733.0074691772461,4.348584606078016,0,rosca3inc,incorreto
5,0.1666666666666666,201.6274856848516,-32.16331860792934,320.815372467041,563.3598518371582,728.3689212799072,2.6525246707206023,0,rosca3inc,incorreto
6,0.2,199.8477643408372,-53.39164032043215,322.2335743904114,560.7995653152466,727.0717620849609,2.3150914742599182,0,rosca3inc,incorreto
7,0.2333333333333333,202.55154152279343,81.11331545868637,320.6746745109558,562.9481220245361,726.617546081543,2.0752774174724973,0,rosca3inc,incorreto
8,0.2666666666666666,201.16443919216903,-41.61306991873119,320.01779079437256,557.4605798721313,726.1847877502441,1.0366251050856534,0,rosca3inc,incorreto
9,0.3,199.5268229430609,-49.12848747324574,319.88022565841675,552.796368598938,720.7471561431885,1.1233929445969977,0,rosca3inc,incorreto
10,0.3333333333333333,198.925403299733,-18.042589299835758,319.7204303741455,550.1792192459106,717.6633453369141,1.3004064757456988,0,rosca3inc,incorreto
11,0.3666666666666666,198.17189259617348,-22.605321106785823,320.5083990097046,552.491455078125,715.0222063064575,1.585167531136398,0,rosca3inc,incorreto
12,0.4,199.0720994097691,27.00620440786849,321.28591775894165,554.0206146240234,714.7327423095703,0.9966398619667408,0,rosca3inc,incorreto
13,0.4333333333333333,201.4840679934843,72.35905751145623,322.0993137359619,554.9166870117188,714.6793127059937,1.1130077677030925,0,rosca3inc,incorreto
14,0.4666666666666667,203.50804394926232,60.7192786733404,322.64451026916504,556.193118095398,715.543155670166,1.9797345577179748,0,rosca3inc,incorreto
15,0.5,204.49531143527352,29.61802458033617,322.9342317581177,559.1062116622925,714.7974157333374,2.4436546658776312,0,rosca3inc,incorreto
16,0.5333333333333333,212.91764879410752,252.67012076502,319.00739192962646,555.618953704834,703.7995433807373,4.694454709568578,0,rosca3inc,incorreto
17,0.5666666666666667,223.20710905736692,308.68380789778286,311.7259454727173,544.5194149017334,681.1134624481201,8.050565209043647,0,rosca3inc,incorreto
18,0.6,232.84753504510465,289.2127796321301,312.600839138031,551.2111186981201,667.0952081680298,11.241532202491628,0,rosca3inc,incorreto
19,0.6333333333333333,244.5587523756041,351.3365199149848,307.7091979980469,538.5210084915161,593.0618190765381,14.170689343508664,0,rosca3inc,incorreto
20,0.6666666666666666,247.53870255592184,89.39850540953188,307.50097274780273,537.8140211105347,582.5914192199707,12.97007355874863,0,rosca3inc,incorreto
21,0.7,256.25734657593847,261.5593206004988,301.6745066642761,518.9055633544922,527.2532844543457,11.58607678348192,0,rosca3inc,incorreto
22,0.7333333333333333,261.0398842349621,143.4761297707081,303.1176209449768,513.4475898742676,493.5674858093262,9.786409119570097,0,rosca3inc,incorreto
23,0.7666666666666667,266.8671157275217,174.816944776789,306.19877099990845,500.4991292953491,447.3361158370972,8.285671253280665,0,rosca3inc,incorreto
24,0.8,248.31415207851484,-556.5889094702061,306.328182220459,389.9196338653565,340.85031509399414,7.405762865912031,0,rosca3inc,incorreto
25,0.8333333333333334,244.53960858148423,-113.23630491091734,306.75896644592285,386.5403938293457,335.14639377593994,8.151016591801072,0,rosca3inc,incorreto
26,0.8666666666666667,251.19601948590537,199.69232713263324,310.8348083496094,353.21946144104004,278.2848286628723,8.29514338163956,0,rosca3inc,incorreto
27,0.9,246.7116119453721,-134.53222621599764,316.75809144973755,334.43833351135254,252.0511507987976,7.971984482217433,0,rosca3inc,incorreto
28,0.9333333333333332,253.8762799694939,214.94004072365385,321.87312841415405,391.91558361053467,327.93105840682983,3.291703221209114,0,rosca3inc,incorreto
29,0.9666666666666668,236.5852904148411,-518.7296866395843,329.2210292816162,409.6072626113892,380.174503326416,5.976923293793576,0,rosca3inc,incorreto
