frame,tempo,angulo,velocidade,ombro_y,cotovelo_y,punho_y,desvio_5_frames,repeticao,video,rotulo
0,0.0,82.55298634320631,0.0,460.0768280029297,709.3033599853516,688.2268524169922,0.0,0,rosca5cor,correto
1,0.0333333333333333,82.54974814959556,-0.097145808322665,465.53321838378906,707.2218322753906,675.9030914306641,0.0,0,rosca5cor,correto
2,0.0666666666666666,90.32164533480324,233.1569155562308,465.8543014526367,705.6303405761719,698.1474304199219,0.0,0,rosca5cor,correto
3,0.1,96.0978673041609,173.2866590807295,465.7949447631836,698.9958190917969,710.8425903320312,0.0,0,rosca5cor,correto
4,0.1333333333333333,95.99386603691792,-3.1200380172897724,466.7845916748047,699.8532104492188,711.7043304443359,6.048870931501889,0,rosca5cor,correto
5,0.1666666666666666,101.1350874991423,154.2366438667318,468.559799194336,700.5632019042969,725.4811096191406,6.338450864506305,0,rosca5cor,correto
6,0.2,102.57570885406672,43.218640647732514,471.3343048095703,704.0582275390625,734.7636413574219,4.344221309703246,0,rosca5cor,correto
7,0.2333333333333333,105.2479998942617,80.16873120584933,470.5849838256836,702.4964141845703,746.7678833007812,3.6474437362243255,0,rosca5cor,correto
8,0.2666666666666666,112.2251347470476,209.31404558357684,470.52879333496094,701.3975524902344,770.5091094970703,5.328262181326741,0,rosca5cor,correto
9,0.3,119.22944577985253,210.12933098414803,470.41133880615234,701.6133117675781,796.9393920898438,6.753391781084597,0,rosca5cor,correto
10,0.3333333333333333,123.69645950061172,134.0104116227755,470.5479049682617,706.7599487304688,821.2031555175781,8.021965840901338,0,rosca5cor,correto
11,0.3666666666666666,131.3993421504717,231.08647949580003,470.8486175537109,711.8198394775391,856.6410827636719,9.0423370607832,0,rosca5cor,correto
12,0.4,134.7867831101662,101.62322879083462,472.9315185546875,721.0155487060547,876.4393615722656,8.151627175616772,0,rosca5cor,correto
13,0.4333333333333333,137.72098009381725,88.02590950953146,472.8023910522461,724.1435241699219,892.7635192871094,6.902441326311141,0,rosca5cor,correto
14,0.4666666666666667,144.98307576022353,217.86286999218845,473.7385940551758,735.8512878417969,913.8829803466796,7.023971808231444,0,rosca5cor,correto
15,0.5,146.92186663091525,58.16372612075156,474.853744506836,740.0520324707031,918.967742919922,5.925847962766959,0,rosca5cor,correto
16,0.5333333333333333,149.03516323820423,63.398898218669615,474.7900390625,741.0845184326172,923.9469909667968,5.487804356404437,0,rosca5cor,correto
17,0.5666666666666667,153.46424281961885,132.87238744243837,474.6966171264648,739.229736328125,934.8178100585938,5.185554475105587,0,rosca5cor,correto
18,0.6,153.1878251226207,-8.29253090994456,474.4193649291992,738.2283782958984,935.9591674804688,3.363897309557996,0,rosca5cor,correto
19,0.6333333333333333,156.91375474564703,111.7778886907908,474.29237365722656,738.170166015625,947.2787475585938,3.52794792645639,0,rosca5cor,correto
20,0.6666666666666666,157.16076940451654,7.410439766084664,475.1505661010742,741.1878967285156,949.609832763672,2.9686813807097763,0,rosca5cor,correto
21,0.7,157.43234233335772,8.147187865235423,476.4208221435547,744.1836547851562,953.3094787597656,1.8917941449677365,0,rosca5cor,correto
22,0.7333333333333333,156.54786443663636,-26.534336901640927,476.86561584472656,746.1372375488281,952.7891540527344,1.5577953513596086,0,rosca5cor,correto
23,0.7666666666666667,155.1372212284361,-42.31929624600809,476.8335723876953,748.4998321533203,948.3990478515624,0.8050799775665247,0,rosca5cor,correto
