frame,tempo,angulo,velocidade,ombro_y,cotovelo_y,punho_y
0,0.0,152.0251172686828,0.0,507,818,1020
1,0.03333333333333333,151.5955470478842,-12.887106623958289,501,818,1019
2,0.06666666666666667,150.6827747216965,-27.383169785631196,500,818,1019
3,0.1,150.39436425816714,-8.652313905880362,500,818,1017
4,0.13333333333333333,151.20138638088184,24.210663681440963,500,819,1018
5,0.16666666666666666,151.11627519608433,-2.553335543925357,499,818,1018
6,0.2,152.5241609911501,42.23657385197299,499,817,1020
7,0.23333333333333334,152.82707201765234,9.087330795067317,499,816,1025
8,0.26666666666666666,152.90784248211895,2.4231139339983088,499,818,1032
9,0.3,153.11829527603703,6.313583817542394,499,818,1033
10,0.3333333333333333,153.48512714203633,11.004955979979059,499,818,1038
11,0.36666666666666664,154.03793312149764,16.58417938383934,499,820,1041
12,0.4,154.1402653087872,3.069965618686865,499,819,1042
13,0.43333333333333335,154.069254950117,-2.1303107601062266,498,818,1042
14,0.4666666666666667,152.9322846002945,-34.109110494674724,497,816,1037
15,0.5,152.24643420933882,-20.57551172867079,497,816,1033
16,0.5333333333333333,148.82103701648796,-102.76191578552556,497,815,1019
17,0.5666666666666667,144.58799271773395,-126.99132896262029,497,816,1005
18,0.6,139.14521407647362,-163.28335923780998,497,812,960
19,0.6333333333333333,135.07221809134802,-122.18987955376804,499,812,933
20,0.6666666666666666,126.82246869220404,-247.4924819743194,499,810,894
21,0.7,123.08482727721258,-112.12924244974374,499,810,869
22,0.7333333333333333,119.12890584814753,-118.67764287195172,499,809,829
23,0.7666666666666667,117.73429388874277,-41.83835878214268,498,808,812
24,0.8,114.23024717585336,-105.12140138668215,498,808,785
25,0.8333333333333334,111.05840698918702,-95.15520559999032,497,802,719
26,0.8666666666666667,108.75133910423911,-69.21203654843737,496,798,695
27,0.9,104.97158203052112,-113.39271221153965,496,798,677
28,0.9333333333333333,100.06927879978504,-147.06909692208242,496,789,638
29,0.9666666666666667,95.66196873611426,-132.21930191012333,496,787,627
30,1.0,90.2174243761052,-163.33633080027184,496,787,612
31,1.0333333333333334,83.93625555282284,-188.4350646984707,496,785,586
32,1.0666666666666667,79.84801402553644,-122.64724581859198,496,784,574
33,1.1,77.80776209557588,-61.207557898816844,496,784,571
34,1.1333333333333333,69.73584775975698,-242.1574300745671,497,789,564
35,1.1666666666666667,61.204301383247795,-255.9463912952755,499,797,546
36,1.2,58.41733443498035,-83.60900844802345,501,799,546
37,1.2333333333333334,58.72444126865922,9.213205010366181,502,799,546
38,1.2666666666666666,61.97104219865591,97.39802789990065,503,801,554
39,1.3,67.27619733408874,159.1546540629848,502,798,561
40,1.3333333333333333,74.03602136908275,202.79472104982034,502,791,566
41,1.3666666666666667,79.68304912912133,169.41083280115748,503,791,568
42,1.4,85.17530828008117,164.76777452879517,504,791,586
43,1.4333333333333333,91.21746415641296,181.2646762899537,504,790,612
44,1.4666666666666666,96.83914244092038,168.65034853522275,505,796,643
45,1.5,101.46788178898933,138.86218044206842,507,810,690
46,1.5333333333333334,109.84425849775337,251.29130126292125,509,817,750
47,1.5666666666666667,111.42380948309393,47.386529560216815,509,824,764
48,1.6,113.33990869047742,57.48297622150446,510,828,773
49,1.6333333333333333,114.01759415742829,20.330564008526295,511,831,786
50,1.6666666666666667,115.4227480149797,42.154615726542346,512,831,802
51,1.7,116.850266207536,42.825545776688756,512,830,810
52,1.7333333333333334,119.34517996156382,74.8474126208346,511,829,833
53,1.7666666666666666,124.79560988988194,163.5128978495439,511,830,877
54,1.8,126.33555778476267,46.19843684642177,512,833,899
55,1.8333333333333333,125.94961480281998,-11.578289458280722,513,833,914
56,1.8666666666666667,127.10972042682064,34.803168720019926,514,833,922
57,1.9,124.87627343352906,-67.00340979874738,517,832,926
58,1.9333333333333333,124.77941226554674,-2.905835039469764,517,830,942
59,1.9666666666666666,129.44182835819532,139.87248277945753,520,828,970
60,2.0,133.05326776297554,108.34318214340641,520,826,986
61,2.033333333333333,137.94453754839103,146.73809356246466,521,826,1002
62,2.066666666666667,140.23578844852045,68.7375270038828,522,826,1016
63,2.1,143.30545332771229,92.089946375755,522,828,1035
64,2.1333333333333333,150.91232040502746,228.20601231945517,522,828,1057
65,2.1666666666666665,156.492613209173,167.40878412436587,522,828,1063
66,2.2,161.21484225998293,141.6668715242983,522,830,1068
67,2.2333333333333334,166.38408190097036,155.07718922962283,522,833,1072
68,2.2666666666666666,168.3924253867638,60.250304573802964,522,832,1070
69,2.3,171.30191376340522,87.28465129924302,521,832,1080
70,2.3333333333333335,172.6309652998356,39.8715460929111,521,837,1091
71,2.3666666666666667,174.02539021903704,41.83274757604323,519,836,1082
72,2.4,173.06276961965287,-28.878617981524997,517,836,1082
73,2.433333333333333,172.74002442969544,-9.682355698722915,516,834,1078
74,2.466666666666667,172.30106092095812,-13.168905262119495,514,831,1075
75,2.5,172.34085010407728,1.1936754935746308,514,828,1071
76,2.533333333333333,166.81629476154623,-165.73666027593134,514,826,1063
77,2.566666666666667,159.43962103509588,-221.30021179351047,513,822,1054
78,2.6,152.75202037698597,-200.62801974329744,513,819,1038
79,2.6333333333333333,144.9904783962643,-232.8462594216498,512,819,1010
80,2.6666666666666665,139.21054523554065,-173.39799482170974,513,819,987
81,2.7,134.90202581877125,-129.255582503082,513,815,957
82,2.7333333333333334,131.59832096784692,-99.11114552773,513,815,932
83,2.7666666666666666,124.88260851359678,-201.47137362750414,514,818,898
84,2.8,120.4542556308765,-132.85058648160827,514,818,866
85,2.8333333333333335,120.21522199312028,-7.171009132686663,513,816,857
86,2.8666666666666667,118.87033142679263,-40.346716989829474,513,816,848
87,2.9,114.05630035288175,-144.42093221732648,514,817,799
88,2.933333333333333,110.61120160239652,-103.35296251455688,515,817,739
89,2.966666666666667,105.1953127216241,-162.47666642317242,514,817,707
90,3.0,100.09332680416246,-153.0595775238494,514,805,660
91,3.033333333333333,95.836388806023,-127.7081399441839,514,801,634
92,3.066666666666667,93.39830093668294,-73.14263608020156,513,790,606
93,3.1,93.42958491365584,0.9385193091870292,513,779,594
94,3.1333333333333333,94.70096019451455,38.14125842576118,513,754,558
95,3.1666666666666665,90.86796571690573,-114.98983432826464,513,756,550
96,3.2,86.70077293675342,-125.01578340456916,512,760,551
97,3.2333333333333334,82.28272671359603,-132.5413866947217,510,763,552
98,3.2666666666666666,77.59797479678215,-140.5425575044164,507,764,550
99,3.3,72.4769702025109,-153.63013782813766,503,765,561
100,3.3333333333333335,70.08751380445311,-71.68369194173366,501,768,563
101,3.3666666666666667,69.5425647469628,-16.348471724709412,498,770,563
102,3.4,70.26120068429597,21.559078119995263,497,767,558
103,3.433333333333333,72.49568490355217,67.03452657768608,498,768,564
104,3.466666666666667,77.13226341875308,139.0973554560273,498,766,567
