frame,tempo,angulo,velocidade,ombro_y,cotovelo_y,punho_y
0,0.0,167.75031684054417,0.0,468,688,839
1,0.03333333333333333,161.6401605604402,-183.30468840311937,468,677,834
2,0.06666666666666667,162.04150102863002,12.040214045694881,468,678,834
3,0.1,162.6697733498232,18.848169635795387,468,679,835
4,0.13333333333333333,162.55795550202134,-3.3545354340557765,469,682,837
5,0.16666666666666666,162.197368079622,-10.817622671980018,471,685,838
6,0.2,160.45350820219727,-52.31579632274219,472,688,837
7,0.23333333333333334,155.5586763671856,-146.84495505035017,474,690,828
8,0.26666666666666666,154.94195868701937,-18.501530404986966,475,692,828
9,0.3,150.47716655062783,-133.94376409174612,481,707,828
10,0.3333333333333333,147.24123556322803,-97.07792962199392,484,713,823
11,0.36666666666666664,139.6250799301571,-228.48466899212752,487,718,806
12,0.4,132.5904713638481,-211.0382569892701,487,716,784
13,0.43333333333333335,130.6180036099334,-59.17403261744141,487,717,779
14,0.4666666666666667,125.85114934180902,-143.0056280437313,487,716,757
15,0.5,118.00563468153653,-235.36543980817456,487,714,732
16,0.5333333333333333,114.18658282618148,-114.57155566065168,487,714,707
17,0.5666666666666667,110.18410319078524,-120.07438906188725,485,714,678
18,0.6,110.50540188481962,9.638960821031475,483,714,674
19,0.6333333333333333,108.50571890294754,-59.99048945616252,480,712,659
20,0.6666666666666666,105.41028573768295,-92.86299495793742,480,712,625
21,0.7,103.92440407721386,-44.5764498140727,480,707,609
22,0.7333333333333333,102.71763719661048,-36.20300641810147,480,701,598
23,0.7666666666666667,100.71955271389082,-59.94253448158986,480,700,597
24,0.8,96.75271883181146,-119.0050164623807,479,696,578
25,0.8333333333333334,95.11792738456562,-49.04374341737537,480,692,577
26,0.8666666666666667,89.74626120009928,-161.14998553399005,479,691,569
27,0.9,86.97096709863077,-83.25882304405553,479,691,579
28,0.9333333333333333,85.18181822083334,-53.67446633392291,478,690,586
29,0.9666666666666667,80.03679899939553,-154.3505766431342,477,689,566
30,1.0,78.93241479912355,-33.1315260081594,478,689,560
31,1.0333333333333334,79.21308924895868,8.420233495053964,478,688,567
32,1.0666666666666667,81.81791794588409,78.14486090776228,478,688,572
33,1.1,83.39641078028964,47.354785032166546,478,688,575
34,1.1333333333333333,88.43837310756636,151.25886981830163,478,687,575
35,1.1666666666666667,90.40618652715807,59.0344025877512,478,687,576
36,1.2,98.73486068054827,249.86022460170588,479,690,597
37,1.2333333333333334,102.25756368391731,105.68109010107136,477,693,609
38,1.2666666666666666,103.25938977297083,30.054782671605693,477,694,611
39,1.3,106.7474915664561,104.64305380455812,477,700,615
40,1.3333333333333333,112.94497813403,185.9245970272167,477,700,640
41,1.3666666666666667,117.82724722520649,146.4680727352949,477,701,666
42,1.4,120.8042320902721,89.30954595196809,478,702,678
43,1.4333333333333333,120.98052722292503,5.288853979588168,479,703,682
44,1.4666666666666666,123.63701239177654,79.6945550655451,479,703,702
45,1.5,124.036054538072,11.971264388863716,479,703,714
46,1.5333333333333334,125.93865418247785,57.077989332175605,479,702,731
