frame,tempo,angulo,velocidade,ombro_y,cotovelo_y,punho_y,desvio_5_frames,repeticao,video,rotulo
0,0.0,135.90672865618257,0.0,490.9036636352539,767.806396484375,823.8009643554688,0.0,0,rosca4inc,incorreto
1,0.0333333333333333,106.66562993841076,-877.2329615331537,482.0110702514648,760.0778198242188,823.7992858886719,0.0,0,rosca4inc,incorreto
2,0.0666666666666666,115.70064884876402,271.05056731059733,477.7300262451172,749.2181396484375,859.3048095703125,0.0,0,rosca4inc,incorreto
3,0.1,119.33763227960782,109.10950292531396,475.1175308227539,742.8965759277344,870.218505859375,0.0,0,rosca4inc,incorreto
4,0.1333333333333333,122.9374653434224,107.99499191443716,474.8464584350586,744.4203186035156,886.3215637207031,9.574144469460716,0,rosca4inc,incorreto
5,0.1666666666666666,126.31997263305976,101.47521868912122,473.2685089111328,744.5847320556641,909.5433044433594,6.766977032042484,0,rosca4inc,incorreto
6,0.2,126.90217557503668,17.466088259307497,472.1960067749024,745.3123474121094,911.199188232422,4.24394549119877,0,rosca4inc,incorreto
7,0.2333333333333333,130.08542399694787,95.49745265733564,472.2687149047852,745.9899139404297,930.2521514892578,3.6734369052384577,0,rosca4inc,incorreto
8,0.2666666666666666,126.24050282808426,-115.3476350659082,471.4138412475586,746.4452362060547,931.481475830078,2.271931796040537,0,rosca4inc,incorreto
9,0.3,126.84033271858796,17.994896715111395,470.4410934448242,746.6798400878906,936.0009765625,1.4288906505919217,0,rosca4inc,incorreto
10,0.3333333333333333,125.89413685197503,-28.385875998388173,470.2283477783203,747.2407531738281,931.7326354980468,1.4946146524367512,0,rosca4inc,incorreto
11,0.3666666666666666,127.45352083694613,46.78151954913275,470.14530181884766,747.4948883056641,930.6551361083984,1.489456022187308,0,rosca4inc,incorreto
12,0.4,127.85407868702144,12.01673550225948,470.8324432373047,747.6185607910156,926.1971282958984,0.7290341337668178,0,rosca4inc,incorreto
13,0.4333333333333333,124.97981218453482,-86.2279950745986,476.8818664550781,748.3982849121094,902.7666473388672,1.0471032968158738,0,rosca4inc,incorreto
14,0.4666666666666667,123.62675298162492,-40.59177608729712,480.68641662597656,749.5758819580078,896.4157867431641,1.5637949057668168,0,rosca4inc,incorreto
15,0.5,113.00087366920968,-318.7763793724571,480.667610168457,752.5065612792969,857.8854370117188,5.42139200439288,0,rosca4inc,incorreto
16,0.5333333333333333,108.28952279805436,-141.34052613465997,481.1099243164063,761.9454193115234,836.7625427246094,7.546521057659479,0,rosca4inc,incorreto
17,0.5666666666666667,107.18657590883986,-33.0884066764348,481.03893280029297,763.88671875,830.8852386474609,7.526299208763533,0,rosca4inc,incorreto
18,0.6,86.13849553628505,-631.4424111766442,479.7246551513672,765.1775360107422,738.8942718505859,12.225032092773674,0,rosca4inc,incorreto
19,0.6333333333333333,83.84170428988445,-68.90373739201806,478.65501403808594,767.9835510253906,727.8358459472656,12.183115696784386,0,rosca4inc,incorreto
20,0.6666666666666666,78.27911573174528,-166.87765674417506,472.318000793457,748.0162048339844,684.5755004882812,12.508938128010865,0,rosca4inc,incorreto
21,0.7,78.87200702691702,17.78673885515218,468.4439086914063,739.8135375976562,680.8281707763672,10.585271922389907,0,rosca4inc,incorreto
22,0.7333333333333333,76.4437694614956,-72.84712696264236,468.2051849365234,734.2219543457031,661.390380859375,3.6541524086170174,0,rosca4inc,incorreto
23,0.7666666666666667,74.94443559903011,-44.98001587396473,467.41382598876953,733.0725860595703,643.5773468017578,3.019545507976856,0,rosca4inc,incorreto
24,0.8,76.31719045383147,41.18264564404072,466.740837097168,712.0162200927734,619.4793701171875,1.423895800799197,0,rosca4inc,incorreto
25,0.8333333333333334,73.9464009503818,-71.12368510349015,466.415901184082,707.0533752441406,602.210693359375,1.662683176268535,0,rosca4inc,incorreto
26,0.8666666666666667,75.00186394720163,31.66388990459481,465.2377700805664,697.98583984375,596.053352355957,0.9365579781646016,0,rosca4inc,incorreto
27,0.9,77.74277976207227,82.2274744461194,465.19981384277344,686.0929870605469,587.1314239501953,1.313570742814959,0,rosca4inc,incorreto
28,0.9333333333333332,77.32382205894454,-12.568731093831929,465.2099609375,684.6543121337891,582.9985809326172,1.4199921246383516,0,rosca4inc,incorreto
29,0.9666666666666668,78.81332155086267,44.68498475754373,465.2428436279297,679.4009399414062,582.4885940551758,1.8065646487390563,0,rosca4inc,incorreto
30,1.0,77.40537711514257,-42.23833307160291,465.6863403320313,685.0911712646484,588.1365203857422,1.246614405696815,0,rosca4inc,incorreto
31,1.0333333333333334,76.80202427969013,-18.10058506357322,466.8882751464844,688.3222961425781,591.4201736450195,0.6696159639537953,0,rosca4inc,incorreto
32,1.0666666666666669,76.64929600877458,-4.5818481274663725,466.9085311889648,690.3190612792969,595.3739547729492,0.7647788773367483,0,rosca4inc,incorreto
33,1.1,76.2385021102426,-12.32381695595933,466.92779541015625,691.5946960449219,596.1320114135742,0.8977137916616439,0,rosca4inc,incorreto
34,1.1333333333333333,77.52757081007816,38.6720609950666,466.45545959472656,692.5787353515625,595.6392288208008,0.4808883094492069,0,rosca4inc,incorreto
35,1.1666666666666667,78.65571996795073,33.84447473617712,466.3920593261719,697.98828125,607.9869842529297,0.8496282668835621,0,rosca4inc,incorreto
36,1.2,82.59486292486248,118.17428870735256,461.40438079833984,706.0260009765625,645.3694915771484,2.286399803493836,0,rosca4inc,incorreto
37,1.2333333333333334,81.83270129532248,-22.864848886200093,458.8789367675781,709.4107818603516,654.2442321777344,2.456650516011143,0,rosca4inc,incorreto
38,1.2666666666666666,82.35890312254217,15.78605481659082,453.9564895629883,711.3166809082031,667.8929901123047,2.088666264525114,0,rosca4inc,incorreto
39,1.3,82.00248049690772,-10.692678769033536,452.7001190185547,724.1769409179688,681.1796569824219,1.4414529316105833,0,rosca4inc,incorreto
40,1.3333333333333333,81.0600340449047,-28.273393560090767,453.0847930908203,734.1667938232422,697.0307922363281,0.5271893516938551,0,rosca4inc,incorreto
41,1.3666666666666667,81.70974151035891,19.4912239636264,453.2135009765625,771.3436889648438,725.6669616699219,0.4265853779159217,0,rosca4inc,incorreto
42,1.4,92.74661931211251,331.10633405260813,453.07262420654297,770.6519317626953,776.1019897460938,4.406184940836948,0,rosca4inc,incorreto
43,1.4333333333333331,101.29740946889837,256.5237047035751,452.0082473754883,746.4183044433594,796.6114807128906,8.034574994021675,0,rosca4inc,incorreto
44,1.4666666666666666,110.41499311407736,273.5275093553703,452.1875381469727,736.2747192382812,839.4385528564453,11.324596301747174,0,rosca4inc,incorreto
45,1.5,111.2602153266289,25.356666376546,450.2278137207031,732.7296447753906,852.5343322753906,11.160384035037486,0,rosca4inc,incorreto
46,1.5333333333333334,115.89373355457587,139.0055468384098,449.6060562133789,724.9355316162109,867.8260803222656,8.273984717716532,0,rosca4inc,incorreto
47,1.5666666666666669,120.05579067842652,124.8617137155189,444.8772811889648,721.3423156738281,887.5753021240234,6.28378136482021,0,rosca4inc,incorreto
48,1.6,123.02296004279304,89.0150809309958,441.5400314331055,718.9527893066406,903.5780334472656,4.885829670425019,0,rosca4inc,incorreto
49,1.6333333333333333,125.26965229333922,67.40076751638526,439.3914031982422,714.4583892822266,906.5370941162108,5.022153479865346,0,rosca4inc,incorreto
50,1.6666666666666667,126.58307807467502,39.40277344007384,438.6334228515625,713.5332489013672,913.7286376953124,3.8385393564216703,0,rosca4inc,incorreto
51,1.7,126.66984824266214,2.60310503961378,438.6518096923828,713.6092376708984,919.2892456054688,2.5064294144947508,0,rosca4inc,incorreto
52,1.7333333333333334,126.16365525649374,-15.18578958505202,438.32008361816406,713.6800384521484,916.1463928222656,1.3536673094482106,0,rosca4inc,incorreto
